api10,direction,wellname,welltype,operator,basin,subbasin,state,county,spuddate,cum12moil,cum12mgas,cum12mwater
4231745269,Horizontal,EAST CROSS BAR RANCH 0701WP,Oil,Occidental,Permian,Midland,Texas,Martin,2023-07-21,44697,111964,318840
4203332586,Horizontal,WEREWOLF UNIT B 12-05 4AH,Oil,Surge Energy,Permian,Midland,Texas,Borden,2023-03-18,152764,97702,421361
4203332607,Horizontal,FLUVANNA (MISSISSIPPIAN) UNIT 5182H,Oil,Browning Oil,Permian,Midland,Texas,Borden,2023-02-05,19097,22026,296459
4203332615,Horizontal,YETI UNIT A 10-06 2AH,Oil,Surge Energy,Permian,Midland,Texas,Borden,2023-02-16,191900,164560,471164
4203332616,Horizontal,WEREWOLF UNIT B 12-05 5AH,Oil,Surge Energy,Permian,Midland,Texas,Borden,2023-04-07,164095,128023,430897
4203332617,Horizontal,WEREWOLF UNIT B 12-05 6AH,Oil,Surge Energy,Permian,Midland,Texas,Borden,2023-04-13,145061,110719,419366
4203332618,Horizontal,ERLKING UNIT A 21-09 3AH,Oil,Surge Energy,Permian,Midland,Texas,Borden,2023-03-24,76829,63035,217811
4203332619,Horizontal,ERLKING UNIT B 21-09 4AH,Oil,Surge Energy,Permian,Midland,Texas,Borden,2023-03-30,85739,82933,246292
4203332632,Horizontal,MILLER RANCH B501MH,Oil,King Operating,Permian,Midland,Texas,Borden,2023-04-02,5711,2769,56120
4200100536,Vertical,ROYALL NATIONAL BANK -B- 2,Oil,Pride Energy Company,Other,Other,Texas,Anderson,2023-05-29,386,0,0
4237140394,Horizontal,ZAUK STATE 37-39 B 2WA,Oil,Diamondback,Permian,Delaware,Texas,Pecos,2023-01-06,152197,185703,922740
4237140419,Horizontal,MAGNOLIA STATE UNIT 5001CH,Oil,Continental Resources,Permian,Delaware,Texas,Pecos,2023-01-08,173321,232997,422738
4237140422,Horizontal,JOLLY JUMPER 48-21-28 2B3 303H,Oil,Exxon Mobil,Permian,Delaware,Texas,Pecos,2023-02-07,73385,52348,0
4237140423,Horizontal,GUNPOWDER 48-21-16 2B3 303H,Oil,Exxon Mobil,Permian,Delaware,Texas,Pecos,2023-02-06,79866,49506,740544
4237140424,Horizontal,GUNPOWDER 48-21-16 2B4 304H,Oil,Exxon Mobil,Permian,Delaware,Texas,Pecos,2023-02-05,103628,79035,268397
4237140425,Horizontal,EL KABONG 48-17-8 303H,Oil,Exxon Mobil,Permian,Delaware,Texas,Pecos,2023-02-25,38043,19995,245658
4237140426,Horizontal,SILVER 48-20-29 2B1 301H,Oil,Exxon Mobil,Permian,Delaware,Texas,Pecos,2023-01-11,79539,65976,996606
